product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
69302317,Çilekli Köpük 150 ml,1821,Yüz Temizleyici,Yüz Temizleyici,100172,Cilt Bakım,UNKNOWN,9.804589,2021-02-18 12:40:15,2021-02-18 12:40:15
2020544,Mr. Wipes Pas & Kireç Sökücü 1000 ml 8690131105044,2439,Kireç Çözücü,Kireç Çözücü,100172,Cilt Bakım,UNKNOWN,8.559671,2021-02-16 13:02:00,2021-02-16 13:02:00
6242347,Caudalıe Soleil Divin Beautifying Suncare Oil Spf30 150 ml,620,Güneş Ürünleri,Güneş Ürünleri,100172,Cilt Bakım,UNKNOWN,27.477610000000002,2021-02-15 02:40:13,2021-02-15 02:40:13
6497455,Vinoperfect Radiance Serum 30 ml + Kırışıklık Karşıtı Güneş Kremi 25 ml,620,Güneş Ürünleri,Güneş Ürünleri,100172,Cilt Bakım,UNKNOWN,95.2603,2021-02-19 21:40:51,2021-02-19 21:40:51
43502112,Gano Transparent Soap / Gano Şeffaf Sabun / Gano Tekli Sabun,630,Katı&Sıvı Sabun,Katı&Sıvı Sabun,100172,Cilt Bakım,UNKNOWN,18.9145,2021-02-19 19:20:14,2021-02-19 19:20:14
46862060,Sensibio H2o 100 Ml,3518,Makyaj Temizleyici,Makyaj Temizleyici,100172,Cilt Bakım,UNKNOWN,15.939765,2021-02-16 07:00:54,2021-02-16 07:00:54
2020548,Mr Wipes Çok Amaçlı Temizleyici Drop Pure Soap 500 Ml,2457,Yüzey Temizleyici,Yüzey Temizleyici,100172,Cilt Bakım,UNKNOWN,7.906260999999999,2021-02-16 16:06:27,2021-02-16 16:06:27
33051635,Kadın Derı Sneakers & Spor Ayakkabı 35 4024 Bn Ayk Y19,975,Sneaker,Sneaker,100093,Branded Shoes A,Siyah,51.581561,2021-02-16 08:00:16,2021-02-16 08:00:16
132344,Gözenek ve Siyah Nokta Kremi - Effaclar Duo 40 ml 3337872414084,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,41.16483,2021-02-19 13:02:18,2021-02-19 13:02:18
202117,Refine Sheer Hydration Spf 35 50 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,95.30844599999999,2021-02-19 18:40:44,2021-02-19 18:40:44
81087898,Onarıcı Bakım Cica Balm Yoğun Krem 100 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,24.93275,2021-02-19 11:20:59,2021-02-19 11:20:59
